iter	Passed	Remaining
0	3	332
1	6	298
2	10	329
3	15	362
4	17	339
5	20	316
6	23	311
7	26	301
8	29	295
9	31	287
10	34	278
11	37	273
12	40	269
13	43	265
14	46	262
15	49	257
16	51	251
17	54	246
18	56	240
19	59	236
20	61	232
21	64	228
22	67	224
23	69	220
24	72	216
25	74	212
26	77	209
27	79	205
28	82	200
29	84	196
30	86	193
31	89	190
32	92	188
33	95	185
34	98	182
35	100	178
36	103	175
37	105	172
38	108	169
39	110	166
40	113	163
41	115	159
42	118	157
43	121	154
44	124	152
45	127	149
46	130	147
47	133	144
48	137	142
49	140	140
50	144	138
51	147	135
52	150	133
53	153	130
54	156	128
55	160	125
56	163	123
57	166	120
58	169	117
59	172	115
60	175	112
61	179	110
62	182	107
63	186	104
64	189	102
65	193	99
66	196	96
67	199	93
68	201	90
69	205	88
70	208	85
71	212	82
72	215	79
73	218	76
74	222	74
75	225	71
76	228	68
77	231	65
78	234	62
79	237	59
80	240	56
81	243	53
82	246	50
83	249	47
84	252	44
85	255	41
86	257	38
87	260	35
88	262	32
89	265	29
90	268	26
91	270	23
92	273	20
93	275	17
94	278	14
95	280	11
96	283	8
97	285	5
98	288	2
99	290	0
